workerid,proliferate.condition,personae,error
75,condition1,ra,
6,condition1,ra,
58,condition1,ea,
121,condition1,ea,
128,condition1,ea,
112,condition1,ea,
56,condition1,ra,
120,condition1,ea,
111,condition1,ea,
67,condition1,ea,
53,condition1,ra,
71,condition1,ea,
108,condition1,ea,
122,condition1,ra,
63,condition1,ea,
61,condition1,ra,
68,condition1,ra,
95,condition1,ea,
70,condition1,ea,
73,condition1,ra,
43,condition1,ea,
116,condition1,ra,
24,condition1,ra,
123,condition1,ra,
64,condition1,ra,
13,condition1,ra,
117,condition1,ea,
55,condition1,ra,
8,condition1,ea,
100,condition1,ea,
98,condition1,ea,
81,condition1,ra,
90,condition1,ea,
96,condition1,ra,
50,condition1,ra,
65,condition1,ra,
69,condition1,ea,
102,condition1,ra,
94,condition1,ra,
103,condition1,ra,
119,condition1,ra,
10,condition1,ea,
59,condition1,ra,
79,condition1,ra,
110,condition1,ra,
105,condition1,ra,
5,condition1,ea,
101,condition1,ra,
39,condition1,ra,
109,condition1,ra,
34,condition1,ea,
127,condition1,ea,
15,condition1,ra,
3,condition1,ea,
82,condition1,ra,
83,condition1,ea,
60,condition1,ra,
86,condition1,ra,
19,condition1,ea,
31,condition1,ea,
134,condition1,ra,
30,condition1,ra,
130,condition1,ra,
25,condition1,ea,
104,condition1,ra,
85,condition1,ea,
124,condition1,ea,
80,condition1,ra,
27,condition1,ra,
29,condition1,ra,
126,condition1,ra,
48,condition1,ea,
77,condition1,ra,
49,condition1,ra,
23,condition1,ea,
52,condition1,ea,
106,condition1,ea,
97,condition1,ea,
32,condition1,ea,
22,condition1,ea,
14,condition1,ra,
36,condition1,ea,
11,condition1,ea,
17,condition1,ra,
46,condition1,ea,
16,condition1,ea,
47,condition1,ea,
125,condition1,ea,
66,condition1,ea,
18,condition1,ra,
62,condition1,ra,
4,condition1,ea,
42,condition1,ea,
113,condition1,ra,
9,condition1,ea,
12,condition1,ra,
51,condition1,ra,
26,condition1,ea,
7,condition1,ea,
57,condition1,ra,
87,condition1,ea,
35,condition1,ra,
133,condition1,ra,
41,condition1,ra,
131,condition1,ea,
38,condition1,ea,
93,condition1,ea,
54,condition1,ea,
76,condition1,ra,
40,condition1,ea,
91,condition1,ra,
21,condition1,ra,
118,condition1,ea,
74,condition1,ra,
45,condition1,ea,
78,condition1,ra,
84,condition1,ra,
37,condition1,ea,
129,condition1,ra,
132,condition1,ra,
28,condition1,ea,
72,condition1,ra,
33,condition1,ra,
