workerid,proliferate.condition,age,asses,comments,education,enjoyment,fairprice,gender,language,error
75,condition1,50,Yes,server too slow,3,1,1,Male,english,
6,condition1,28,Yes,I thought the experiment was fun and interesting. I enjoyed doing it and am curious about what it is about. ,3,2,1,Female,english,
58,condition1,50,Yes,One of the more interesting studies I've done on Prolific. Realy enjoyed the drawings ,3,2,1,Female,English,
121,condition1,47,Yes,cool study,2,2,1,Male,english,
128,condition1,74,Yes,,4,2,1,Male,English,
112,condition1,23,Yes,,3,2,1,Male,English,
56,condition1,27,Yes,Too slow on the images,3,1,1,Female,English,
120,condition1,42,Yes,,1,1,1,Male,English,
111,condition1,22,Yes,"This was very interesting and fun!
",2,2,1,Female,English,
67,condition1,32,Yes,,-1,1,1,Male,english,
53,condition1,19,Yes,,2,1,1,Female,english,
71,condition1,23,Yes,It was simple but got boring toward the end,3,0,1,Male,English,
108,condition1,28,Yes,,4,1,1,Male,English,
122,condition1,19,Yes,,2,1,1,Male,English,
63,condition1,52,Yes,,3,1,0,Male,English,
61,condition1,33,Yes,,2,1,1,Female,English,
68,condition1,18,Yes,,2,1,0,Male,English ,
95,condition1,38,Yes,,4,2,1,Male,English,
70,condition1,19,Yes,it was simple and easy.,2,2,1,Female,english,
73,condition1,28,Yes,,3,1,1,Female,English,
43,condition1,22,Yes,,3,2,1,Male,English,
116,condition1,21,Yes,,2,1,1,Male,English,
24,condition1,31,Yes,,3,1,0,Male,English,
123,condition1,73,Yes,"At first I looked for exact matches, but after a few, I realized that most people round amounts out (e.g., 192 miles would be given as 200), so I answered that way.",2,2,1,Female,English,
64,condition1,24,Yes,,2,1,1,Male,English,
13,condition1,25,Yes,,3,1,1,Male,English,
117,condition1,22,Confused,"I was asked to select the side of the phone a person was looking at in a picture, however every single picture showed the person looking at the same side of the phone (the screen was facing them every time.)",1,0,1,Male,English,
55,condition1,51,Yes,,1,2,0,Female,English,
8,condition1,24,Yes,,4,2,1,Male,English,
100,condition1,40,Yes,,3,1,1,Male,English,
98,condition1,30,Yes,,3,2,1,Female,English,
81,condition1,40,Yes,,4,2,1,Male,English,
90,condition1,34,Yes,,3,2,1,Male,English,
96,condition1,29,Yes,"I couldn't decide if when someone said it was 3 and it was actually 3:03 if I would qualify it as still the screen they were looking at, but ultimately I decided it seemed most likely.",2,1,1,Female,English,
50,condition1,24,Yes,N/A,3,1,1,Male,"English, Vietnamese",
65,condition1,42,Yes,,4,2,1,Male,English,
69,condition1,63,Yes,It was an enjoyable experience. The cartoon graphics lightened the mood and made it more fun.,3,2,1,Female,English,
102,condition1,26,Yes,,2,1,1,Other,English,
94,condition1,62,Yes,it was interesting and i would change one if i had the option to do over.,2,2,1,Female,english,
103,condition1,31,No,,3,0,1,Male,english,
119,condition1,26,Yes,Moved too slowly.,4,0,0,Male,English,
10,condition1,22,Yes,,2,2,1,Female,English,
59,condition1,31,Yes,,4,1,1,Female,English,
79,condition1,21,Yes,,2,0,0,Male,english,
110,condition1,19,Yes,,2,1,1,Female,Somali,
105,condition1,44,Yes,This was fun and interesting.,2,2,1,Female,English,
5,condition1,44,Yes,,2,1,1,Male,English,
101,condition1,42,Yes,none,4,1,1,Female,english,
39,condition1,31,Yes,,-1,1,1,Male,english,
109,condition1,19,Yes,,2,1,1,Female,English,
34,condition1,18,Yes,,2,0,1,Male,English,
127,condition1,19,Yes,,2,0,0,Male,Chinese,
15,condition1,30,Yes,"Thank you. I appreciate the experiment. It made me think more about how I view time relative to what someone is saying, so if I think the approximation is close enough I'm okay to accept it. ",3,2,1,Female,English,
3,condition1,26,Yes,,1,1,1,Female,english,
82,condition1,59,Yes,,3,2,1,Male,English,
83,condition1,23,Yes,,3,2,1,Male,English,
60,condition1,41,Yes,,3,1,1,Female,english,
86,condition1,25,Yes,,3,2,1,Male,Bangla,
19,condition1,39,Yes,,2,2,1,Female,English,
31,condition1,20,Yes,,2,2,1,Male,English,
134,condition1,18,Yes,,0,1,1,Male,english,
30,condition1,45,Yes,"It wasn't all that challenging, but it was sort of fun.",4,2,1,Female,English,
130,condition1,50,Yes,Only the male character holds the phone.,1,1,1,Female,English,
25,condition1,27,Yes,,3,2,1,Male,English,
104,condition1,33,Yes,"This was fun. Tyler looked funny with his cheeky grin and seedy head down stare. Becky looked like she was throwing him the ""talk to the hand"" look.",2,2,1,Male,English,
85,condition1,61,Yes,none,2,1,1,Female,English,
124,condition1,27,Yes,,3,1,0,Female,English,
80,condition1,45,Yes,There was one towards the end that I accidently selected the wrong button. sorry! I think in part it was because it was becoming monotonous. ,2,2,1,Female,English,
27,condition1,26,Yes,,4,0,1,Female,English,
29,condition1,33,Yes,"it was an interesting experiment- curious if there is a gendered aspect of your research questions, as I recognized a patterned hetero-gender role in each scenario  ",4,2,1,Other,english,
126,condition1,31,Yes,when she asks are some of them available and all of them are available there should be some that arent so i marked it backside of the phone hope that was right thats how i perceived it ,0,2,1,Male,english and spanish,
48,condition1,48,Yes,I enjoyed taking part in the experiment. It was fun and I didn't have any problems. ,2,2,1,Female,English,
77,condition1,22,Yes,,3,2,1,Female,English,
49,condition1,36,Yes,,0,1,1,Female,english,
23,condition1,19,Yes,,2,2,1,Female,English,
52,condition1,26,Yes,Loved how interactive it was!,3,2,1,Female,Punjabi,
106,condition1,45,Yes,,2,1,1,Female,English,
97,condition1,28,Yes,,3,2,1,Female,English,
32,condition1,52,Yes,,3,2,1,Male,english,
22,condition1,36,Yes,,4,2,1,Female,English,
14,condition1,38,Yes,,3,1,0,Female,English,
36,condition1,42,Yes,,4,2,1,Male,English,
11,condition1,26,Yes,,4,1,1,Male,English,
17,condition1,37,Yes,,3,1,1,Female,English,
46,condition1,28,Confused,"I understand and read the directions but where I was confused was on how exact it had to be. If the time is 3:01 but Joe said it was 3:00, was that close enough? Or did it have to be exact? I chose close enough. I did the same for the mileage ones.",3,2,1,Male,English,
16,condition1,35,Yes,,3,1,1,Female,English,
47,condition1,29,Yes,,3,2,1,Female,English,
125,condition1,22,Yes,"The text loading felt a bit too slow sometimes, I'd rather see the whole prompt at once",2,1,1,Female,English,
66,condition1,58,Yes,,3,1,1,Female,english,
18,condition1,22,Yes,"The initial examples don't give you any ambiguous/close choices (such as saying ""5:32"" is ""5:30""). This makes sense if the intention is to see how participants treat these without guidance, but on the off-chance your rules were meant to be quite stringent it could create confusion.",4,1,1,Male,englishg,
62,condition1,20,Yes,,1,1,1,Male,English,
4,condition1,21,Yes,,2,1,1,Male,English,
42,condition1,22,No,maybe throw in more complex questions like for the time ones throw in that Alex knows his phone is 30 minutes slow,2,1,1,Male,English,
113,condition1,56,Yes,,3,1,1,Female,engligh,
9,condition1,30,Yes,,4,2,1,Female,English,
12,condition1,45,Yes,Arthur is terrible at giving the time ;-},4,2,1,Male,English,
51,condition1,36,Yes,none,4,2,1,Male,english,
26,condition1,65,Yes,,4,1,1,Female,English,
7,condition1,50,Yes,,3,1,1,Male,English,
57,condition1,32,Yes,I thought it was fun,2,2,1,Female,english,
87,condition1,45,Yes,,4,1,1,Male,English,
35,condition1,22,Yes,,2,1,1,Female,English,
133,condition1,60,Yes,I started second guessing myself. Should I round up? Round down? Close is good enough? ,4,2,1,Female,English,
41,condition1,32,Yes,,2,1,1,Male,english,
131,condition1,30,Yes,,3,2,1,Male,English,
38,condition1,27,Yes,,3,1,1,Female,English,
93,condition1,53,Yes,none,4,1,1,Male,English,
54,condition1,22,Yes,,2,1,1,Male,English,
76,condition1,35,Yes,,3,2,1,Male,english,
40,condition1,26,Yes,,3,2,1,Male,English,
91,condition1,26,Yes,,3,1,1,Female,english,
21,condition1,35,Yes,,2,1,1,Male,English,
118,condition1,21,Yes,,3,0,1,Female,English,
74,condition1,46,Confused,I would have liked to have some more indepth instructions.  I was clicking on the phone quite awhile before realizing I had to type in the number.,4,1,1,Female,English,
45,condition1,32,Yes,,4,2,1,Female,English,
78,condition1,37,Yes,None,2,1,1,Male,English,
84,condition1,20,Yes,thank you for the time and fun study!,1,2,1,Male,English ,
37,condition1,42,Yes,,4,1,1,Female,English,
129,condition1,32,Yes,,3,2,1,Male,English,
132,condition1,26,Yes,N/A,3,2,1,Male,English,
28,condition1,19,Yes,,2,2,0,Female,english,
72,condition1,29,Yes,,4,1,1,Male,english,
33,condition1,20,Yes,,2,1,0,Female,english,
