workerid,proliferate.condition,Browser,OS,screenH,screenW,error
75,condition1,Chrome,Windows,864,1536,
6,condition1,Chrome,Windows,1003,1504,
58,condition1,Chrome,Windows,768,1366,
121,condition1,Chrome,Windows,768,1366,
128,condition1,Chrome,Windows,864,1536,
112,condition1,Safari,Mac,900,1440,
56,condition1,Safari,Mac,900,1440,
120,condition1,Chrome,Windows,1080,1920,
111,condition1,Chrome,Windows,1440,2560,
67,condition1,Chrome,Windows,1080,1920,
53,condition1,Chrome,Mac,900,1440,
71,condition1,Safari,Mac,800,1280,
108,condition1,Chrome,Mac,800,1280,
122,condition1,Firefox,Windows,1024,1280,
63,condition1,Chrome,Windows,1440,2731,
61,condition1,Chrome,Windows,768,1366,
68,condition1,Chrome,Windows,720,1280,
95,condition1,Chrome,Windows,768,1366,
70,condition1,Chrome,Linux,768,1366,
73,condition1,Chrome,Windows,864,1536,
43,condition1,Chrome,Windows,1080,1920,
116,condition1,Chrome,Windows,864,1536,
24,condition1,Chrome,Windows,768,1366,
123,condition1,Chrome,Windows,864,1536,
64,condition1,Chrome,Windows,1080,1920,
13,condition1,Chrome,Windows,1080,1920,
117,condition1,Firefox,Windows,768,1366,
55,condition1,Chrome,Windows,720,1280,
8,condition1,Chrome,Mac,1080,1920,
100,condition1,Chrome,Windows,1024,1280,
98,condition1,Chrome,Windows,768,1366,
81,condition1,Chrome,Windows,768,1366,
90,condition1,Chrome,Windows,1080,1920,
96,condition1,Chrome,Mac,800,1280,
50,condition1,Chrome,Windows,1080,1920,
65,condition1,Chrome,Windows,768,1366,
69,condition1,Firefox,Windows,1080,1920,
102,condition1,Chrome,Windows,1080,1920,
94,condition1,Chrome,Mac,800,1280,
103,condition1,Chrome,Windows,1440,2560,
119,condition1,Firefox,Mac,900,1440,
10,condition1,Chrome,Windows,1080,1920,
59,condition1,Firefox,Windows,1080,1920,
79,condition1,Chrome,Windows,1080,1920,
110,condition1,Chrome,Mac,900,1440,
105,condition1,Chrome,Windows,864,1536,
5,condition1,Chrome,Windows,1080,1920,
101,condition1,Chrome,Mac,800,1280,
39,condition1,Chrome,Windows,1080,1920,
109,condition1,Chrome,Windows,864,1536,
34,condition1,Chrome,Windows,864,1536,
127,condition1,Chrome,Mac,900,1440,
15,condition1,Chrome,Windows,1080,1920,
3,condition1,Firefox,Windows,1080,1920,
82,condition1,Firefox,Windows,1080,1920,
83,condition1,Chrome,Mac,800,1280,
60,condition1,Chrome,Windows,1024,1280,
86,condition1,Firefox,Mac,1080,1920,
19,condition1,Chrome,Windows,1080,1920,
31,condition1,Chrome,Windows,1440,2560,
134,condition1,Chrome,Windows,768,1366,
30,condition1,Chrome,Mac,900,1440,
130,condition1,Chrome,Windows,768,1366,
25,condition1,Chrome,Windows,1080,1920,
104,condition1,Chrome,Mac,800,1280,
85,condition1,Firefox,Windows,768,1366,
124,condition1,Chrome,Windows,1000,1500,
80,condition1,Chrome,Windows,768,1366,
27,condition1,Firefox,Windows,768,1366,
29,condition1,Chrome,Mac,900,1440,
126,condition1,Chrome,Windows,1440,2560,
48,condition1,Chrome,Windows,864,1536,
77,condition1,Chrome,Windows,900,1600,
49,condition1,Chrome,Windows,1080,1920,
23,condition1,Chrome,Windows,1152,2048,
52,condition1,Chrome,Windows,1080,1920,
106,condition1,Chrome,Linux,768,1366,
97,condition1,Chrome,Mac,1050,1680,
32,condition1,Chrome,Windows,900,1600,
22,condition1,Firefox,Windows,936,1664,
14,condition1,Chrome,Mac,1120,1792,
36,condition1,Chrome,Windows,768,1366,
11,condition1,Chrome,Windows,1080,1920,
17,condition1,Safari,Mac,1080,1920,
46,condition1,Chrome,Windows,1080,1920,
16,condition1,Chrome,Windows,720,1280,
47,condition1,Chrome,Windows,768,1366,
125,condition1,Chrome,Windows,768,1366,
66,condition1,Chrome,Windows,1080,1920,
18,condition1,Chrome,Mac,900,1440,
62,condition1,Chrome,Windows,1080,1920,
4,condition1,Chrome,Windows,1080,1920,
42,condition1,Chrome,Windows,794,1415,
113,condition1,Chrome,Windows,800,1280,
9,condition1,Chrome,Mac,1440,2560,
12,condition1,Firefox,Windows,1080,1920,
51,condition1,Firefox,Windows,900,1600,
26,condition1,Chrome,Mac,800,1280,
7,condition1,Firefox,Windows,1080,1920,
57,condition1,Chrome,Mac,900,1440,
87,condition1,Firefox,Windows,900,1440,
35,condition1,Chrome,Windows,864,1536,
133,condition1,Firefox,Windows,1440,2560,
41,condition1,Firefox,Windows,1080,1920,
131,condition1,Firefox,Linux,820,360,
38,condition1,Chrome,Windows,720,1280,
93,condition1,Chrome,Windows,1440,2560,
54,condition1,Chrome,Windows,1080,1920,
76,condition1,Chrome,Windows,768,1366,
40,condition1,Chrome,Windows,1080,1920,
91,condition1,Chrome,Mac,900,1440,
21,condition1,Firefox,Windows,1080,1920,
118,condition1,Chrome,Windows,720,1280,
74,condition1,Chrome,Windows,864,1536,
45,condition1,Firefox,Windows,768,1366,
78,condition1,Chrome,Windows,1080,1920,
84,condition1,Chrome,Windows,1080,1920,
37,condition1,Chrome,Windows,1080,1920,
129,condition1,Chrome,Windows,1080,1920,
132,condition1,Chrome,Mac,800,1280,
28,condition1,Chrome,Windows,720,1280,
72,condition1,Chrome,Windows,1080,1920,
33,condition1,Safari,Mac,900,1440,
