workerid,proliferate.condition,time_in_minutes,error
75,condition1,33.43918333333333,
6,condition1,13.594166666666666,
58,condition1,14.122283333333334,
121,condition1,21.8092,
128,condition1,13.699783333333333,
112,condition1,12.030216666666666,
56,condition1,11.91045,
120,condition1,11.990183333333333,
111,condition1,16.769516666666668,
67,condition1,13.339633333333332,
53,condition1,14.616116666666668,
71,condition1,13.872816666666669,
108,condition1,11.520066666666668,
122,condition1,15.571883333333334,
63,condition1,12.581783333333334,
61,condition1,17.788466666666668,
68,condition1,25.0052,
95,condition1,20.084633333333333,
70,condition1,14.1729,
73,condition1,15.7861,
43,condition1,12.665083333333332,
116,condition1,12.374633333333334,
24,condition1,12.90005,
123,condition1,14.3956,
64,condition1,13.46995,
13,condition1,11.4649,
117,condition1,19.061883333333338,
55,condition1,19.128533333333333,
8,condition1,15.458716666666668,
100,condition1,11.989533333333334,
98,condition1,16.77805,
81,condition1,14.541333333333334,
90,condition1,24.301816666666667,
96,condition1,16.442183333333332,
50,condition1,12.4498,
65,condition1,12.375166666666669,
69,condition1,16.897016666666666,
102,condition1,12.27555,
94,condition1,16.595366666666667,
103,condition1,11.451966666666667,
119,condition1,12.13075,
10,condition1,12.75785,
59,condition1,11.750116666666669,
79,condition1,35.06435,
110,condition1,17.686516666666666,
105,condition1,13.797883333333331,
5,condition1,17.41571666666667,
101,condition1,19.727916666666665,
39,condition1,14.52755,
109,condition1,14.741666666666667,
34,condition1,11.751783333333334,
127,condition1,14.11125,
15,condition1,14.227033333333331,
3,condition1,16.7788,
82,condition1,14.412216666666666,
83,condition1,13.9739,
60,condition1,14.828816666666668,
86,condition1,17.125833333333333,
19,condition1,14.76415,
31,condition1,13.637866666666667,
134,condition1,20.5605,
30,condition1,11.571166666666668,
130,condition1,13.089133333333333,
25,condition1,15.174116666666666,
104,condition1,21.6677,
85,condition1,15.005116666666666,
124,condition1,14.805433333333331,
80,condition1,18.803516666666667,
27,condition1,13.561116666666669,
29,condition1,15.949216666666668,
126,condition1,23.045816666666667,
48,condition1,14.5434,
77,condition1,11.299883333333334,
49,condition1,17.352433333333334,
23,condition1,12.4288,
52,condition1,13.82755,
106,condition1,12.763533333333331,
97,condition1,12.893983333333331,
32,condition1,16.698116666666667,
22,condition1,12.02115,
14,condition1,14.25705,
36,condition1,18.77775,
11,condition1,13.144566666666666,
17,condition1,26.47015,
46,condition1,21.801116666666665,
16,condition1,19.328266666666668,
47,condition1,16.933833333333332,
125,condition1,16.57985,
66,condition1,12.180916666666668,
18,condition1,15.136716666666668,
62,condition1,12.5488,
4,condition1,15.20785,
42,condition1,14.414633333333333,
113,condition1,16.850833333333334,
9,condition1,13.3408,
12,condition1,13.464516666666666,
51,condition1,13.937133333333334,
26,condition1,14.70385,
7,condition1,14.3421,
57,condition1,12.509883333333333,
87,condition1,13.791566666666666,
35,condition1,12.84515,
133,condition1,16.18875,
41,condition1,13.466433333333333,
131,condition1,25.559166666666663,
38,condition1,12.942633333333331,
93,condition1,16.8931,
54,condition1,14.648566666666667,
76,condition1,48.68875,
40,condition1,11.666666666666666,
91,condition1,13.530716666666669,
21,condition1,14.370583333333334,
118,condition1,11.74345,
74,condition1,16.100383333333333,
45,condition1,12.22815,
78,condition1,16.000966666666667,
84,condition1,26.510416666666668,
37,condition1,17.13595,
129,condition1,15.6349,
132,condition1,12.271433333333333,
28,condition1,13.006966666666669,
72,condition1,13.34105,
33,condition1,12.7581,
